Year;Year_(each_Walker_moves_once_a_year_on_average)
0;0
0;50
100;50
200;50
300;50
400;50
500;50
600;50
700;50
800;50
900;50
1000;50
1100;50
1200;50
1300;50
1400;50
1500;50
1600;50
1700;50
1800;50
1900;50
2000;50
2100;50
2200;50
2300;50
2400;50
2500;50
2600;50
2700;50
2800;50
2900;50
3000;50
3100;50
3200;50
3300;50
3400;50
3500;50
3600;50
3700;50
3800;50
3900;50
4000;50
4100;50
4200;50
4300;50
4400;50
4500;50
4600;50
4700;50
4800;50
4900;50
5000;50
5100;50
5200;50
5300;50
5400;50
5500;50
5600;50
5700;50
5800;50
5900;50
6000;50
6100;50
6200;50
6300;50
6400;50
6500;50
6600;50
6700;50
6800;50
6900;50
7000;50
7100;50
7200;50
7300;50
