Year;Average_value_of_gene_Cooperativeness_in_the_population;Average_value_of_gene_Exploration_in_the_population
0;0;0
0;48.708;54.664
30;12.537;53.367
60;3.541;54.545
90;2.786;66.717
120;2.144;78.027
150;0.557;78.507
180;0.602;87.713
210;0.58;76.299
240;0.603;80.916
270;0.649;73.628
300;0.557;75.041
330;0.181;61.44
360;0.865;66.159
390;2.995;63.22
420;0.143;64.718
450;1.547;68.155
480;0.87;65.08
510;1.163;66.499
540;0.902;62.657
570;1.365;72.731
600;0.536;78.685
630;0.17;73.126
660;0.019;51.381
690;2.096;52.223
720;0.849;55.937
750;0.549;45.267
780;0.894;53.031
810;1.054;58.964
840;0.817;50.019
870;0.042;38.41
900;0.93;43.4
930;0.575;40.117
960;0.693;41.006
990;1.264;46.047
1020;2.116;41.428
1050;1.132;49.765
1080;1.626;62.632
1110;2.567;67.666
1140;0.97;66.423
1170;0.808;61.739
1200;0.698;69.731
1230;1.301;64.496
1260;0.604;50.431
1290;0.578;50.959
1320;0.145;33.328
1350;1.578;39.629
1380;0.409;57.709
1410;1.303;56.84
1440;0.985;70.582
1470;2.249;74.685
1500;0.235;77.24
1530;0.5;67.171
1560;0.592;57.125
1590;1.893;55.969
1620;0.485;66.814
1650;1.122;55.75
1680;0.35;36.351
1710;2.616;29.061
1740;0.469;36.761
1770;1.91;40.503
1800;3.133;39.086
1830;1.445;36.618
1860;0.786;37.596
1890;0.567;31.657
1920;1.038;30.822
1950;0.145;32.151
1980;1.341;33.058
2010;0.034;38.288
2040;2.907;36.309
2070;1.534;34.627
2100;0.95;35.082
2130;0.374;26.534
2160;2.068;26.28
2190;1.173;32.194
2220;0.462;33.091
2250;0.879;36.973
2280;0.231;36.947
2310;2.062;33.293
2340;0.591;37.063
2370;1.949;50.357
2400;1.296;51.866
2430;2.026;66.37
2460;0.356;72.736
2490;1.352;74.638
2520;0.249;64.321
2550;0.719;68.149
2580;0.053;66.562
2610;0.911;57.83
2640;1.082;74.877
2670;0.241;74.133
2700;1.46;69.033
2730;0.034;72.032
2760;0.416;70.942
2790;0.364;69.628
2820;1.554;72.615
2850;0.488;62.435
2880;0.018;52.79
2910;2.132;66.192
2940;0.584;68.399
2970;0.463;61.915
3000;0.92;52.865
3030;2.09;36.2
3060;0.57;30.265
3090;0.877;41.998
3120;0.12;37.726
3150;0.055;39.222
3180;0.14;56.046
3210;0.866;53.481
3240;0.582;60.97
3270;1.691;53.078
3300;2.255;55.035
3330;0.692;54.765
3360;0.936;71.31
3390;1.766;77.025
3420;1.76;76.886
3450;1.832;76.718
3480;0.567;69.56
3510;0.882;74.921
3540;0.668;59.475
3570;0.085;69.021
3600;0.708;75.317
3630;0.499;83.811
3660;1.345;68.812
3690;0.431;54.801
3720;0.429;55.796
3750;0.152;53.896
3780;2.833;54.779
3810;1.312;57.314
3840;0.438;60.697
3870;0.822;65.38
3900;1.16;61.702
3930;0.058;69.129
3960;0.163;67.784
3990;0.385;68.071
4020;1.207;71.141
4050;0.266;62.386
4080;1.31;75.208
4110;0.774;83.527
4140;0.757;81.725
4170;0.38;81.35
4200;1.046;78.389
4230;1.426;72.708
4260;0.896;67.021
4290;0.406;78.634
4320;1.599;77.187
4350;1.645;71.419
4380;1.341;64.446
4410;0.278;65.891
4440;0.359;63.366
4470;0.12;60.921
4500;1.087;66.622
4530;1.632;70.615
4560;0.406;67.745
4590;1.088;61.194
4620;1.359;50.177
4650;0.406;57.934
4680;0.792;63.06
4710;0.554;62.541
4740;1.41;58.868
4770;1.126;58.061
4800;1.201;55.666
4830;1.939;54.75
4860;1.549;62.236
4890;1.263;56.91
4920;0.028;50.971
4950;1.105;55.461
4980;1.503;55.508
5010;1.575;58.789
5040;0.102;44.546
5070;0.619;42.908
5100;0.643;39.982
5130;1.281;41.959
5160;0.635;63.655
5190;0.866;66.956
5220;0.862;57.701
5250;0.091;58.05
5280;0.596;59.371
5310;0.441;66.516
5340;0.976;62.355
5370;0.159;41.825
5400;1.42;43.569
5430;0.779;47.425
5460;0.215;45.619
5490;1.161;45.399
5520;0.851;45.317
5550;0.679;46.589
5580;0.797;43.869
5610;1.399;41.004
5640;0.88;41.953
5670;0.11;55.256
5700;1.029;54.42
5730;0.787;59.171
5760;0.395;52.39
5790;1.246;59.698
5820;1.659;74.309
5850;0.886;60.663
5880;1.117;61.011
5910;0.814;52.735
5940;0.413;59.073
5970;0.572;59.076
6000;0.378;53.583
6030;0.975;53.291
6060;0.211;49.112
6090;0.984;53.786
6120;1.471;52.056
6150;0.87;56.062
6180;0.416;54.281
6210;0.05;51.391
6240;0.331;68.42
6270;0.219;75.023
6300;0.595;77.174
6330;0.616;76.967
6360;0.32;75.505
6390;1.921;72.855
6420;0.363;71.99
6450;0.648;64.626
6480;0.243;58.309
6510;0.806;62.33
6540;0.35;48.385
6570;4.426;43.509
6600;1.3;52.277
6630;1.871;50.181
6660;0.644;57.764
6690;0.422;55.599
6720;0.683;54.467
6750;0.582;36.156
6780;1.139;43.677
6810;0.205;54.706
6840;0.216;59.707
6870;0.839;59.719
6900;0.563;57.48
6930;0.756;57.292
6960;0.211;46.525
6990;0.417;53.143
7020;0.627;48.899
7050;2.052;56.447
7080;0.95;66.562
7110;0.334;55.792
7140;0.157;56.676
7170;1.239;62.617
7200;0.313;51.738
7230;0.879;61.996
7260;1.836;67.163
7290;1.119;64.229
7320;0.111;66.675
7350;0.567;66.812
7380;3.175;70.924
7410;1.215;70.83
7440;0.923;74.718
7470;0.591;75.548
7500;0.23;76.401
7530;0.647;68.946
7560;0.723;69.198
7590;0.278;57.133
7620;0.763;50.806
7650;0.339;46.658
7680;0.518;49.238
7710;1.64;45.075
7740;0.82;49.437
7770;0.606;43.005
7800;2.145;32.494
7830;0.267;32.214
7860;0.97;26.306
7890;1.37;36.258
7920;0.25;35.042
7950;0.366;30.092
7980;2.572;35.31
8010;2.825;36.935
8040;0.333;31.476
8070;0.185;37.168
8100;0.285;34.598
8130;0.161;37.65
8160;0.546;34.212
8190;0.502;50.537
8220;0.502;50.285
8250;0.826;51.54
8280;2.729;46.19
8310;0.259;53.092
8340;1.005;44.04
8370;1.2;46.342
8400;2.633;48.342
8430;0.741;44.319
8460;0.539;46.914
8490;0.803;49.462
8520;0.999;38.32
8550;0.208;31.367
8580;1.527;39.523
8610;1.279;28.03
8640;0.766;39.672
8670;0.795;38.545
8700;0.184;30.194
8730;0.801;27.877
8760;0.756;21.342
8790;0.674;22.597
8820;1.687;26.079
8850;1.923;25.636
8880;0.35;19.904
8910;1.442;15.214
8940;0.778;15.594
8970;0.512;13.626
9000;0.089;23.31
9030;0.745;19.5
9060;1.273;19.949
9090;0.635;27.938
9120;0.351;29.513
9150;0.249;39.399
9180;2.275;39.223
9210;1.971;37.446
9240;1.531;40.986
9270;2.615;38.204
9300;1.268;30.267
9330;0.133;32.589
9360;0.198;34.524
9390;0.132;37.6
9420;1.114;32.909
9450;1.018;27.321
9480;0.635;19.719
9510;0.23;24.186
9540;1.722;27.498
9570;1.977;18.34
9600;0.49;20.048
9630;0.887;24.586
9660;0.436;26.878
9690;1.217;27.923
9720;1.845;20.175
9750;0.901;20.185
9780;1.848;20.905
9810;0.756;26.068
9840;0.719;34.072
9870;0.357;39.451
9900;1.37;38.207
9930;1.434;31.927
9960;0.488;36.214
9990;2.209;39.901
10020;0.868;45.009
10050;1.924;42.961
10080;0.648;41.599
10110;0.872;35.708
10140;0.132;52.594
10170;1.252;63.224
10200;0.616;56.205
10230;1.376;38.529
10260;1.156;43.841
10290;0.07;48.93
10320;1.032;48.276
10350;1.766;58.535
10380;0.867;51.441
10410;0.209;53.905
10440;0.261;55.015
10470;2.314;54.984
10500;0.507;56.539
10530;0.433;54.597
10560;0.863;43.953
10590;0.564;40.021
10620;0.695;34.397
10650;0.564;33.594
10680;0.894;35.018
10710;0.014;33.89
10740;0.461;48.128
10770;0.47;65.934
10800;0.214;52.573
10830;0.035;49.11
10860;0.068;52.657
10890;0.609;50.16
10920;0.293;50.499
10950;0.653;63.807
10980;0.76;71.763
11010;0.802;70.184
11040;0.81;57.448
11070;0.176;50.064
11100;0.454;41.577
11130;0.055;28.351
11160;0.732;30.264
11190;0.682;32.35
11220;0.818;35.936
11250;1.318;44.014
11280;0.81;33.703
11310;0.681;45.954
11340;1.418;50.749
11370;1.25;54.38
11400;1.164;58.398
11430;0.56;53.918
11460;0.592;52.645
11490;0.354;74.081
11520;0.092;77.352
11550;0.689;57.292
11580;2.264;62.616
11610;0.314;60.918
11640;0.264;62.651
11670;1.04;63.081
11700;0.324;67.59
11730;0.196;54.289
11760;0.657;57.715
11790;1.435;48.903
11820;1.251;55.65
11850;2.411;42.666
11880;0.204;46.819
11910;1.174;40.572
11940;1.176;36.34
11970;1.91;32.747
12000;1.606;21.107
12030;0.749;30.39
12060;0.312;33.595
12090;0.078;38.977
12120;0.248;46.269
12150;1.026;41.434
12180;0.859;34.203
12210;0.926;33.311
